"user_id","story_id","score","maximum_possible_score","time"
383636626,"de-vogelsitting",10,12,"2018-05-05 10:56:35"
383636626,"de-wir-muessen-reden",10,11,"2018-05-15 17:23:30"
383636626,"fr-bonjour",7,7,"2020-02-20 12:33:56"
383636626,"fr-un-rendez-vous",7,7,"2020-02-20 12:38:23"
383636626,"fr-une-chose",7,7,"2020-02-22 12:29:50"
383636626,"fr-surprise",5,6,"2020-02-22 12:32:16"
383636626,"fr-au-musee",7,7,"2020-02-22 12:34:46"
383636626,"fr-la-lune-de-miel",6,7,"2020-02-22 12:38:21"
383636626,"fr-dans-le-magasin-de-vetements",5,7,"2020-02-22 12:41:36"
383636626,"fr-l-examen",7,7,"2020-02-22 12:44:30"
383636626,"fr-j-ai-besoin-d-argent",6,6,"2020-02-22 12:46:55"
383636626,"fr-samedi-soir",7,7,"2020-02-22 12:48:56"
383636626,"fr-c-est-qui",7,7,"2020-02-23 09:21:27"
383636626,"fr-le-cours-de-danse",5,6,"2020-02-23 09:24:09"
383636626,"fr-je-peux-vous-aider",6,6,"2020-02-24 18:46:58"
383636626,"fr-le-jardin",6,7,"2020-03-02 15:34:20"
383636626,"fr-j-entends-un-bruit",7,7,"2020-03-04 20:21:14"
383636626,"fr-la-visite-a-rome",6,6,"2020-03-21 17:21:51"
383636626,"fr-le-nouveau-centre-commercial",6,7,"2020-03-21 17:23:58"
383636626,"fr-bon-anniversaire",7,7,"2020-04-04 11:10:29"
383636626,"fr-les-vacances-parfaites",7,7,"2020-04-04 11:12:26"
383636626,"fr-le-touriste",4,6,"2020-04-06 10:25:41"
383636626,"fr-en-la-robe-verte",6,7,"2020-05-30 11:20:52"
383636626,"fr-en-mon-stylo-prefere",6,7,"2020-05-30 11:22:12"
383636626,"fr-en-une-grande-famille",6,6,"2020-06-17 16:08:04"
383636626,"fr-en-l-entretien",5,7,"2020-06-17 16:10:21"
383636626,"fr-en-le-sac",7,7,"2020-06-17 16:12:28"